core depth age sd offset N_offset
Sim01_10_001 20 66.2194239185683 12.9146483708192 95.8535037997413 7.42207616092151
Sim01_10_002 29 59.9459079448307 57.7927304938263 176.868606143971 3.06039539285768
Sim01_10_003 23 126.686876929433 37.8274147187444 78.8471390334622 2.08439142933
Sim01_10_004 20 85.7786467644979 16.1564129425322 76.2942809538117 4.72222895175975
Sim01_10_005 23 93.7678102637029 25.3502224767229 111.766205699193 4.40888460848099
Sim01_10_006 8 63.9837792762992 8.02702019429853 14.0312906946811 1.7480073993893
Sim01_10_007 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_008 28 94.7831492518674 52.23320933892 141.46709907249 2.70837463106215
Sim01_10_009 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_010 20 94.9931105870942 14.6188292338191 67.0798171312154 4.5885902392261
Sim01_10_011 5 47.1127159320453 5.47858804772031 17.8819006195411 3.26396152873402
Sim01_10_012 12 53.4986755883966 7.88937420371303 26.8179560521117 3.39925010015246
Sim01_10_013 14 84.7907862713915 13.5730901636742 3.02426974587378 0.222813648874718
Sim01_10_014 26 118.511436438326 59.8267375488183 112.294581202216 1.87699657048129
Sim01_10_015 9 48.9959886674391 7.34587346104701 29.8360713176389 4.06160975625986
Sim01_10_016 7 44.4765914154837 7.19676308259943 31.3134145136621 4.35104145492474
Sim01_10_017 17 88.9871739821277 13.8535803084504 27.8737305159599 2.01202359934042
Sim01_10_018 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_019 10 67.5736965844183 8.4222122633116 11.388946123117 1.3522511386621
Sim01_10_020 26 163.65469550275 152.939054071117 67.1513221377928 0.439072430162719
Sim01_10_021 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_022 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_023 23 86.4871434743616 26.828303400187 119.046872488534 4.43736119697021
Sim01_10_024 26 113.414920575064 39.6034719369538 117.391097065479 2.96416175966487
Sim01_10_025 9 54.3584172897768 7.78564659393486 24.4736426953012 3.14343097904888
Sim01_10_026 14 59.9727154828659 8.35797719649932 27.8423405343994 3.33122954033195
Sim01_10_027 24 75.945724634248 23.803384981034 140.481112896434 5.90172838898191
Sim01_10_028 16 66.9733499609329 10.7469742242011 37.8153160951993 3.51869422093179
Sim01_10_029 29 100.19510540845 88.6751216697096 136.619408680352 1.54067348437616
Sim01_10_030 16 82.8245525241482 10.7686195669457 21.9641135319839 2.03964058674734
Sim01_10_031 20 83.503247106711 17.1090692981913 78.5696806115986 4.5922825632546
Sim01_10_032 26 118.680267391411 51.5176737219718 112.125750249131 2.1764521211545
Sim01_10_033 24 96.851240599388 24.9463909707521 119.575596931294 4.79330244889884
Sim01_10_034 8 63.9837792762992 8.02702019429853 14.0312906946811 1.7480073993893
Sim01_10_035 11 50.7553786834131 7.20619759924157 28.4420685495408 3.94688990384253
Sim01_10_036 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_037 21 118.441129116359 34.156845619748 59.3247689568577 1.73683394588869
Sim01_10_038 12 67.4907986461669 8.22777452722036 12.8258329943415 1.55884594940091
Sim01_10_039 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_040 29 100.19510540845 88.6751216697096 136.619408680352 1.54067348437616
Sim01_10_041 23 125.951477054292 38.9357793980666 79.5825389086037 2.04394364615071
Sim01_10_042 26 148.130385554102 77.7590137018584 82.6756320864406 1.0632289190734
Sim01_10_043 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_044 13 74.9267550461213 10.1764001486916 8.08474658183212 0.794460365522442
Sim01_10_045 23 75.4400668554858 23.1449490802241 130.09394910741 5.62083539939895
Sim01_10_046 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_047 26 104.545553976442 38.1011001430015 126.2604636641 3.31382724357612
Sim01_10_048 28 73.7582466634898 103.835045195258 162.492001660867 1.56490519511314
Sim01_10_049 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_050 7 48.4512234541315 6.99874871034276 27.3387824750143 3.90623861585615
Sim01_10_051 17 82.2488241931633 11.7495422703205 34.6120803049243 2.94582371879752
Sim01_10_052 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_053 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_054 7 53.897267381376 7.43773881717045 21.8927385477698 2.94346697106776
Sim01_10_055 22 112.283345919445 37.554056316502 80.1943567019506 2.13543794113957
Sim01_10_056 6 62.0087052751662 8.15833913431899 9.56796303125749 1.17278319443828
Sim01_10_057 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_058 10 59.9224614286638 8.75453374437207 19.0401812788715 2.17489381328979
Sim01_10_059 28 104.656977347084 171.588111814981 131.593270977273 0.76691368408533
Sim01_10_060 22 121.33354980613 75.3051606004967 71.1441528152663 0.944744719325345
Sim01_10_061 29 120.982286844783 102.221901340817 115.832227244019 1.13314491048082
Sim01_10_062 25 102.54544404248 35.0703398086989 122.320085638303 3.48785002670442
Sim01_10_063 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_064 21 79.7600290480801 22.1961449041575 98.0058690251365 4.41544554012978
Sim01_10_065 21 73.7224401197666 21.6234673209718 104.04345795345 4.81159919494234
Sim01_10_066 18 77.5671630157874 12.3383538830479 53.2888574658179 4.3189600469341
Sim01_10_067 13 74.9267550461213 10.1764001486916 8.08474658183212 0.794460365522442
Sim01_10_068 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_069 21 94.4108928661385 22.7330468149227 83.3550052070782 3.66668867071357
Sim01_10_070 17 82.2488241931633 11.7495422703205 34.6120803049243 2.94582371879752
Sim01_10_071 26 163.65469550275 152.939054071117 67.1513221377928 0.439072430162719
Sim01_10_072 12 67.2073494761946 8.6596219265917 13.1092821643138 1.51384001235183
Sim01_10_073 5 47.1127159320453 5.47858804772031 17.8819006195411 3.26396152873402
Sim01_10_074 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_075 16 77.3417370377666 16.0169697152364 27.4469290183655 1.71361559061051
Sim01_10_076 2 45.2567356514384 5.56827595366123 14.3947164383178 2.58512986032114
Sim01_10_077 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_078 28 73.7582466634898 103.835045195258 162.492001660867 1.56490519511314
Sim01_10_079 16 82.8245525241482 10.7686195669457 21.9641135319839 2.03964058674734
Sim01_10_080 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_081 18 87.4107837528325 12.6023394078247 43.4452367287727 3.44739459261015
Sim01_10_082 25 104.246754485998 32.6808313044399 120.618775194785 3.69081110792915
Sim01_10_083 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_084 16 77.3417370377666 16.0169697152364 27.4469290183655 1.71361559061051
Sim01_10_085 13 77.021238516102 9.55448056425084 5.99026311185141 0.626958532341847
Sim01_10_086 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_087 29 70.3819070515235 129.017970885804 166.432607037279 1.28999554011426
Sim01_10_088 22 122.162969667934 33.3185168063572 70.3147329534623 2.11038004368929
Sim01_10_089 26 90.9755377532699 35.0156571873441 139.830479887273 3.99337014122392
Sim01_10_090 17 90.1831985337742 12.9736881490066 26.6777059643134 2.05629314177373
Sim01_10_091 13 77.6609618355229 10.3461949238605 5.35053979243054 0.517150491732091
Sim01_10_092 15 62.7272034147024 9.55287667312656 32.3212337108904 3.38340322154625
Sim01_10_093 16 73.7257802797004 11.2349613248873 31.0628857764318 2.7648413624373
Sim01_10_094 23 129.325142221246 44.3278553026633 76.2088737416491 1.71920958551474
Sim01_10_095 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_096 25 121.253577665557 32.5501740589077 103.611952015226 3.18314586667691
Sim01_10_097 29 156.848275995966 228.572757923464 79.966238092836 0.349850256956745
Sim01_10_098 26 84.506504772603 34.2439770002785 146.29951286794 4.27226991966353
Sim01_10_099 -10 60 -10 77.2962775850058 -7.72962775850058
Sim01_10_100 18 97.0946181290964 15.8971276259598 33.7614023525089 2.12374229778322
Sim01_10_101 26.5 69.3509521080685 49.1268331390587 158.000246896081 6.60926202249001
Sim01_10_102 14.75 77.1279139914744 11.3499411849937 36.068809136474 13.481613663857
Sim01_10_103 23.5 124.512300134171 72.8222937340714 72.2302580586477 3.16076262497328
Sim01_10_104 12.5 76.1401734878865 16.7766880488748 34.1957736687358 18.1713641332333
Sim01_10_105 23.5 82.0569505537179 31.3320340414094 118.181700395449 10.922335501358
Sim01_10_106 12.75 68.5438504221776 11.0802584917305 33.4344430440609 16.0425689759079
Sim01_10_107 20 100.633434715485 28.395404280488 76.8795584939641 5.01779270854581
Sim01_10_108 12.6666666666667 51.7269612040339 3.64848325028039 36.295685597358 18.6388356012421
Sim01_10_109 19 85.4943617733197 15.3949922767595 62.054467446041 11.7700119206185
Sim01_10_110 18.75 83.8136632694422 19.4404624952128 57.11855830592 11.5626967958303
Sim01_10_111 13.6666666666667 66.2006317748267 6.60197628401227 35.6163574349922 13.0361522346951
Sim01_10_112 6.5 39.0699410618742 2.79787179395136 32.4349021994091 16.8175090843936
Sim01_10_113 15.75 94.4761222543515 73.1213663396968 38.9617467326079 13.1157436004234
Sim01_10_114 10 51.4393375816291 5.32525225391268 42.9297305587203 35.8358082429804
Sim01_10_115 21.5 86.8874393428678 13.7015488641258 91.9310271120911 10.9161785795109
Sim01_10_116 23 95.4556478473747 31.6909258602281 96.3090698746204 6.53298508112614
Sim01_10_118 24 94.8430687900509 16.0077431340008 121.583768740631 7.59530982742873
Sim01_10_120 6 33.8302504870382 3.85625192096897 37.7464178193855 9.78836927487372
Sim01_10_121 17.5 71.407272135297 7.91817326260295 57.1534102866542 9.05652704953877
Sim01_10_123 21.5 102.595429971655 32.6890132977171 80.6023019932175 4.79976708028643
Sim01_10_125 22.5 129.736085781504 133.397321697303 57.424393656528 2.76840759434817
Sim01_10_126 13.75 58.6326822913487 5.49287127549234 43.4690633259052 17.4963887823724
Sim01_10_128 19.25 102.899505419799 39.7532225932051 67.4455858053903 7.702677632416
Sim01_10_129 21.5 96.2720889829488 26.3652705866839 91.5834964952695 6.07127106794559
Sim01_10_130 20 88.9069617047804 16.0831049752248 71.6702601120594 8.75107488208462
Sim01_10_132 17 71.4397494430134 13.810555182601 80.4090453899172 8.17937025138462
Sim01_10_133 11.5 56.778021654799 4.90532659898672 26.5455363463726 10.8236812951287
Sim01_10_134 18.5 91.3876559301077 25.7838926593326 43.2366171237988 9.47447248303986
Sim01_10_137 17 105.139809335462 134.174653567491 33.6562500488 7.10376726743594
Sim01_10_138 16.75 80.4245669965297 31.3514031644499 55.4978514581186 9.37875488565976
Sim01_10_140 15.5 49.1791479563042 4.69818022489836 50.7394036345583 16.4983007437905
Sim01_10_146 17.25 84.4217381526633 19.0411786871149 41.6700237595744 11.0759200980076
Sim01_10_147 15.6666666666667 69.1406286137177 6.45058786089268 41.2850350456334 11.4002784790019
Sim01_10_148 18.5 82.7259530995692 20.5486618443452 54.1500532305197 13.5026373514537
Sim01_10_149 17.75 91.0280878146591 18.4007499076681 52.9511730359152 8.18358434950748
Sim01_10_152 19.75 74.3409293397602 14.6600933999451 81.7293202372947 15.0328927270837
Sim01_10_153 15.5 43.6188758403083 3.50832246545344 56.2996757505541 20.6976813249975
Sim01_10_154 14.25 77.0434747891142 12.8885847981173 39.3744587112232 14.4809148686966
Sim01_10_155 23.75 103.906975632736 28.8482139209658 93.5968874148456 5.51293764791627
Sim01_10_156 21.5 78.5088907194059 17.5799412466965 105.953745374548 11.7922686851766
Sim01_10_157 17.5 80.1304465545472 14.7353212406569 54.7835354545393 12.7250871280612
Sim01_10_158 15 60.4611407459532 6.42440533927522 52.5381940822894 22.2586559269904
Sim01_10_159 17 96.5289379507688 24.6977287396433 51.5827298425043 8.61768658371432
Sim01_10_160 15.5 80.1690990762596 12.1291282700443 38.6481595630317 12.0671809345544
Sim01_10_161 21.75 110.796499997423 40.3292767324055 69.676794429155 4.44812157373132
Sim01_10_162 17.5 70.7314552919647 9.69483316818891 72.8167271410746 16.5945791035823
