ID,Depth,Density,210Pb,210Pb_sd,Thickness,226Ra,226Ra_sd,info
FCt2-01,1,0.100091335,909.3928293,40.92267732,1,8.976072814,0.45,2020
FCt2-02,2,0.100638145,683.9988561,30.77994853,1,10.06069796,0.45,0
FCt2-03,3,0.101725773,453.0502829,20.38726273,1,9.870116952,0.45,0
FCt2-04,4,0.103342305,310.7896804,13.98553562,1,10.36999888,0.45,
FCt2-05,5,0.105470027,218.0057924,9.810260657,1,10.04177837,0.45,
FCt2-06,6,0.10808563,158.6973796,7.141382083,1,10.1040033,0.45,
FCt2-07,7,0.111160454,113.9062005,5.125779022,1,10.20494894,0.45,
FCt2-08,8,0.114660814,75.54925935,3.399716671,1,9.334004598,0.45,
FCt2-09,9,0.118548356,56.62523377,2.54813552,1,10.51445059,0.45,
FCt2-10,10,0.12278049,44.15954805,1.987179662,1,9.867653597,0.45,
FCt2-11,11,0.127310846,34.74482603,1.563517171,1,9.7694224,0.45,
FCt2-12,12,0.132089789,25.38395795,1.142278108,1,10.51335407,0.45,
FCt2-13,13,0.13706496,24.00071725,1.080032276,1,10.45890992,0.45,
FCt2-14,14,0.14218185,21.36428805,1,1,9.950370088,0.45,
FCt2-15,15,0.147384398,17.79322638,1,1,10.51350494,0.45,
FCt2-16,16,0.152615602,15.04157665,1,1,10.33616459,0.45,
FCt2-17,17,0.15781815,14.29374963,1,1,10.51314335,0.45,
FCt2-18,18,0.16293504,12.38438569,1,1,10.36798657,0.45,
FCt2-19,19,0.167910211,12.6023263,1,1,10.52970724,0.45,
FCt2-20,20,0.172689154,11.93289871,1,1,10.09236874,0.45,
FCt2-21,21,0.17721951,9.301021059,1,1,10.11801972,0.45,
FCt2-22,22,0.181451644,10.77771708,1,1,10.24896788,0.45,
FCt2-23,23,0.185339186,12.94909107,1,1,10.13398134,0.45,
FCt2-24,24,0.188839546,10.65711927,1,1,10.11508705,0.45,
FCt2-25,25,0.19191437,9.629749887,1,1,9.660770524,0.45,
FCt2-26,26,0.194529973,8.433116658,1,1,8.782054987,0.45,
FCt2-27,27,0.196657695,10.49209487,1,1,9.899485094,0.45,
FCt2-28,28,0.198274227,11.1350444,1,1,9.248093901,0.45,
FCt2-29,29,0.199361855,10.10902224,1,1,10.43977628,0.45,
FCt2-30,30,0.199908665,9.540420899,1,1,10.11142347,0.45,
