ID,Depth,CIC,CICsd,CRS,CRSsd
TehuaII-01,1,1.79,1.43,3.6,0.2
TehuaII-02,2,3.56,1.46,7.1,0.3
TehuaII-03,3,4.45,1.47,11.4,0.5
TehuaII-04,4,6.31,1.5,19.5,0.7
TehuaII-05,5,9.72,1.58,26,0.9
TehuaII-06,6,15.28,1.67,32.6,1
TehuaII-07,7,26.47,1.94,45.1,1.4
TehuaII-08,8,36.08,2.25,51.4,1.6
TehuaII-09,9,39.86,2.38,58.8,1.9
TehuaII-10,10,43.44,2.51,74.8,2.4
TehuaII-11,11,50.04,2.86,88.9,3.2
TehuaII-12,12,60.78,3.67,104.6,4.5
TehuaII-13,13,73.86,4.95,126.8,6.9
TehuaII-14,14,89.02,7.66,159.3,13.1
TehuaII-15,15,106.28,6.55,,
