ID,Depth,Density,120Pb,u(210Pb),Thinkness
TehuaII-01,1,1.071583866,112.5,5.8,1
TehuaII-02,2,0.973213378,108.4,5.7,1
TehuaII-03,3,1.121380264,102.4,5.4,1
TehuaII-04,4,1.732484316,103.4,5.4,1
TehuaII-05,5,1.263766643,92.9,5,1
TehuaII-06,6,1.135424096,86.6,4.8,1
TehuaII-07,7,2.085680966,70.3,3.9,1
TehuaII-08,8,1.211092723,51,3,1
TehuaII-09,9,1.339040564,45.7,2.8,1
TehuaII-10,10,2.199381257,43.6,2.6,1
TehuaII-11,11,1.397469527,39.7,2.4,1
TehuaII-12,12,1.280204165,34.2,2.1,1
TehuaII-13,13,1.516059058,28,1.8,1
TehuaII-14,14,1.456445983,23.9,1.5,1
TehuaII-15,15,1.42113905,20.5,1.4,1
TehuaII-16,16,1.443497137,17.1,1.3,1
TehuaII-17,17,0.451885447,14.4,1,1
TehuaII-18,18,0.630431828,15.7,1,1
