"" "CFCS" "CFCS_sd" "CIC" "CIC_sd" "CRS_serac" "CRS_serac_sd"
"Sim01_10_001" "69.404687240928" "5.24845215384571" "54.8122205685572" "13.9465735956998" "16.387650360972" "14.1528767294113"
"Sim01_10_002" "95.1059891024204" "22.4202923202601" "69.3056674945716" "19.4719249202091" "29.3150724190948" "14.2691693402917"
"Sim01_10_003" "42.8130779605964" "5.862063233787" "24.9261161581909" "11.7955934186223" "5.59654147026469" "12.8981004121779"
"Sim01_10_004" "61.5431061606712" "6.91105734852101" "44.2096866474307" "13.7721092958628" "10.5841028277488" "14.1053883125023"
"Sim01_10_006" "32.9862694324092" "4.20754212940651" "12.9670550450142" "27.6016116598186" "22.8123677611011" "27.1426787757974"
"Sim01_10_008" "66.4314085463092" "2.3040536915167" "57.2998204987738" "11.0191742613975" "19.2323440415826" "9.90110095961594"
"Sim01_10_010" "29.1015980162336" "11.3925493561386" "25.3817222301338" "14.0220599653666" "7.14748288034608" "14.3570777577245"
"Sim01_10_011" "22.2482930713599" "5.9657273162237" "19.0055887401492" "31.2874382256309" "30.9656425586219" "30.5883535508714"
"Sim01_10_012" "18.2549850284651" "16.7223986915973" "39.0731773426297" "23.1457374693465" "12.0054726877599" "22.422660745299"
"Sim01_10_014" "57.7245862570864" "8.0677050339067" "48.7704381709745" "9.27029929703308" "13.2685988482849" "9.95419825036359"
"Sim01_10_015" "19.5803314289598" "14.5923422049886" "36.6068283291714" "26.6588119380097" "18.8180723494882" "25.8739763138306"
"Sim01_10_017" "23.436167571546" "12.4668600466995" "24.6502323233938" "17.2839515364106" "7.78086534149381" "17.2159922775548"
"Sim01_10_019" "33.714934231524" "6.37652450668661" "16.0216979608612" "25.2436659207024" "17.0855320657299" "24.8468357757657"
"Sim01_10_022" "16.2694522416385" "10.6985503856465" "28.160938203235" "16.0667366264987" "9.57970917727632" "16.2722401885019"
"Sim01_10_023" "17.2575360334064" "9.68001321303541" "33.4956110962392" "13.1581880903774" "15.564375867314" "13.8212012951128"
"Sim01_10_024" "16.7773945631612" "7.54776883396609" "23.460131015512" "11.7730104713828" "12.2670614560067" "12.2239644189044"
"Sim01_10_026" "55.49182909335" "3.14072079832941" "40.1450081928789" "20.5053923146741" "9.73080344536929" "20.2814681519914"
"Sim01_10_028" "16.6490904904968" "16.2351233858138" "37.376443848709" "18.6063930436516" "9.63618865934221" "18.1189264450146"
"Sim01_10_029" "93.1649947675409" "15.2548046246375" "58.3222690942271" "22.0868569209987" "21.0198550552846" "14.1079808567041"
"Sim01_10_031" "64.4984225235064" "6.3228539822019" "47.6855466274129" "13.8059623510402" "11.94126828085" "14.1023594416287"
"Sim01_10_033" "48.5347013259608" "11.116319369162" "45.12243880847" "10.1425210743274" "12.0908841887284" "10.8600073244119"
"Sim01_10_035" "18.7060231692138" "15.9728407193563" "38.1266002068038" "24.3141734888504" "13.6084330773833" "23.5679022644835"
"Sim01_10_036" "44.3879900095664" "4.12469343764709" "22.9714679384107" "13.5867053766428" "6.29216350325689" "14.5252461220839"
"Sim01_10_038" "34.367820795932" "9.97647061947121" "21.0192607483247" "22.8671579004827" "13.6724094506527" "22.5101017761052"
"Sim01_10_040" "93.1649947675409" "15.2548046246375" "58.3222690942271" "22.0868569209987" "21.0198550552846" "14.1079808567041"
"Sim01_10_041" "32.508335289092" "6.8611810902872" "21.7026659105663" "12.0545598888254" "6.76581734862401" "13.1499948801231"
"Sim01_10_043" "27.8429348232537" "4.5783041648287" "13.8824629302588" "50.6441755239257" "30.026167665362" "28.694544204863"
"Sim01_10_045" "68.7259929312664" "2.8366053380517" "57.3744235275883" "11.4118986105614" "18.1918471176963" "12.2061432221768"
"Sim01_10_047" "16.1921473637173" "7.7322897514361" "27.285492869183" "12.0971983974971" "13.744057982262" "12.4232117530734"
"Sim01_10_049" "36.8797173117348" "2.4265640887168" "19.7556185093707" "15.984557591335" "12.1681528411294" "13.268606326259"
"Sim01_10_050" "19.548999719606" "11.2746283313589" "31.2377547774334" "29.0292039825599" "23.5215538674788" "28.2298981365494"
"Sim01_10_051" "57.1108742464988" "4.43603410493831" "34.6597059327596" "17.0233013782734" "8.4815080170439" "17.1547150453512"
"Sim01_10_053" "48.7418982981268" "4.33175759790591" "29.56889373401" "22.8098307869269" "13.0354240495919" "22.5142454209308"
"Sim01_10_054" "22.981239494799" "8.5109708896173" "23.2069733297598" "28.9250839922585" "23.9665524382285" "28.2402481056888"
"Sim01_10_055" "18.2776238356422" "2.81136612348389" "17.6933501961572" "16.1041733235797" "9.81823122377401" "17.8579390665783"
"Sim01_10_056" "26.4690913607556" "3.58936584477951" "12.9618391708027" "30.038534247907" "27.6539364020131" "29.4574713354957"
"Sim01_10_058" "22.6692181644933" "11.6333048104881" "27.5904955853117" "25.3932847631256" "15.0925173763391" "24.768838575791"
"Sim01_10_059" "59.3046711723699" "3.91670303809671" "68.7773799177657" "11.5870369099759" "28.9716693221979" "10.713430201949"
"Sim01_10_060" "63.066509643644" "10.508089244107" "43.5931313239117" "13.6503641580294" "6.85209766163461" "15.1642516988887"
"Sim01_10_061" "16.221376311159" "3.74784550749131" "21.1797262951664" "56.6049157736153" "25.0397019346655" "31.6798736619482"
"Sim01_10_062" "16.173665268401" "8.16523740573969" "27.3777037298343" "12.2651806116577" "12.9648851117973" "12.9629313200879"
"Sim01_10_063" "28.361625890858" "12.1426051452927" "25.07575334957" "22.9400908960237" "12.9413300246198" "22.4784532177681"
"Sim01_10_064" "65.414685706708" "1.68966663640838" "51.9094068184893" "13.3097061071361" "13.4298245629388" "14.1103846746872"
"Sim01_10_066" "61.5428911321276" "3.4674724715405" "42.2643450208434" "15.9577849285757" "9.10856847319007" "16.150462812887"
"Sim01_10_067" "26.7845945954912" "10.7391752368275" "22.4926103700486" "21.8145281404126" "10.0391213795186" "21.4621321034197"
"Sim01_10_068" "39.9149026559672" "10.4722839170282" "34.8834447751217" "10.3676019323081" "6.76293528884233" "11.1382370422977"
"Sim01_10_070" "57.1108742464988" "4.43603410493831" "34.6597059327596" "17.0233013782734" "8.4815080170439" "17.1547150453512"
"Sim01_10_071" "19.6645059945588" "7.29870082321952" "19.8029689416697" "11.4824040609988" "11.8562488342238" "12.0238429864408"
"Sim01_10_073" "22.2482930713599" "5.9657273162237" "19.0055887401492" "31.2874382256309" "30.9656425586219" "30.5883535508714"
"Sim01_10_075" "63.246035313292" "1.22541703209431" "45.0620532416831" "18.2349218290184" "9.52835426652287" "18.1813019447748"
"Sim01_10_077" "27.7580638119564" "5.3960964734838" "15.3160023114524" "28.8511202385605" "24.8875035297206" "28.2742002656845"
"Sim01_10_079" "30.8835715488372" "11.4250996425189" "22.2547239798507" "18.2963702918236" "8.58008849664313" "18.211657252209"
"Sim01_10_081" "52.91746531734" "6.1103162522961" "32.4145706742784" "15.9479670296624" "7.80607648980488" "16.1825824644958"
"Sim01_10_083" "41.4250952941488" "2.41617345225359" "19.7394565290976" "25.196163783354" "17.0013140395535" "24.8726886310325"
"Sim01_10_084" "63.246035313292" "1.22541703209431" "45.0620532416831" "18.2349218290184" "9.52835426652287" "18.1813019447748"
"Sim01_10_085" "47.2120929856856" "3.01608092137822" "22.2038417951812" "21.6434580845375" "11.7466977711846" "21.5353916366794"
"Sim01_10_087" "145.890067298602" "47.9163294873851" "75.5230857385336" "17.9416632901098" "31.6402575911751" "14.8047792738514"
"Sim01_10_088" "29.0470544371352" "0.659100911301302" "12.2702381237443" "15.5811775272303" "15.7221774044962" "17.4417578371596"
"Sim01_10_089" "62.2333536035724" "8.82330875817769" "56.1745953866552" "9.09949029813639" "18.3628078389188" "9.74783379158534"
"Sim01_10_090" "37.0989881594872" "9.91444171444999" "25.0574197387357" "17.1468292565423" "7.68608747107979" "17.1994402035525"
"Sim01_10_092" "16.9012790347564" "16.522062273717" "37.9437688873411" "19.7175960462704" "9.35895444214551" "19.1518538148475"
"Sim01_10_094" "36.3905706426328" "6.59633657624581" "24.1270119336976" "11.9380554511003" "5.72062171126277" "13.0250539712815"
"Sim01_10_096" "24.6015640341788" "7.15370842840941" "17.5211115056058" "11.484678564015" "10.5950863905728" "12.4404688442765"
"Sim01_10_098" "64.6099181085384" "9.29326469772349" "59.6207040027573" "9.10282105620426" "20.9807022039716" "9.71368996138077"
"Sim01_10_100" "40.1149347098916" "9.12008918021109" "26.6392423120759" "16.0492396709885" "7.0442763014273" "16.2363779543996"
