Code,Layer (cm),Density (g cm-3),u(density),Layer accumulated mass (g cm-2),Section accumulated mass (g cm-2),210Pb (Bq kg-1),u(210Pb),226Ra (Bq kg-1),u(226Ra),210Pbex (Bq kg-1),u(210Pbex),time (yr),u(time),MAR (g cm-2 yr-1),u(MAR),SAR (g cm-2 yr-1),u(SAR)
TC20-01,1,0.10010003,0.010173173,0.10010003,0.050050015,66.0779,2.9735,14.6349,0.675,51.443,3.047488518,0.509608579,0.03066975,0.196425323,0.012336609,1.962290356,0.229255162
 ,2,0.10145003,0.014482344,0.20155006,0.150825045,90.37780177,4.066992552,14.69261525,0.675,75.68518651,4.127125432,1.284842408,0.053605221,0.130863781,0.007631111,1.289933388,0.196189168
 ,3,0.10280003,0.014669785,0.30435009,0.252950075,124.133577,5.585997854,14.75110367,0.675,109.3824733,5.625569112,2.455067586,0.083003772,0.087846367,0.004864753,0.854536391,0.129094807
 ,4,0.104150031,0.01487932,0.408500121,0.356425106,171.2137821,7.704600156,14.81036525,0.675,156.4034169,7.701259997,4.229840454,0.123649992,0.058683583,0.003109514,0.563452382,0.084706249
TC20-02,5,0.105500031,0.015069503,0.514000152,0.461250137,237.1429,10.6714,14.8704,0.675,222.2725,10.68928052,6.970610438,0.181790242,0.038492844,0.001982539,0.364860972,0.054625558
 ,6,0.108350032,0.015472552,0.622350184,0.568175168,241.8979737,10.88541481,15.46255825,0.675,226.4354154,10.89200773,10.11330261,0.23565488,0.03447682,0.001762639,0.318198521,0.04759758
TC20-03,7,0.111200033,0.015862964,0.733550217,0.677950201,246.879,11.1096,16.0705,0.675,230.8085,11.10162846,13.76796719,0.292180571,0.030426878,0.00155596,0.273622921,0.040901303
TC20-04,8,0.114700034,0.016363389,0.848250251,0.790900234,236.3511,10.6358,14.1503,0.675,222.2008,10.65648932,17.86253993,0.347018165,0.028012699,0.001420971,0.244225726,0.036479386
TC20-05,9,0.118500035,0.016898682,0.966750286,0.907500269,217.0308,9.7664,15.2931,0.675,201.7377,9.751332183,22.24543705,0.401775221,0.027036919,0.001382914,0.228159588,0.034113742
 ,10,0.122900036,0.017501123,1.089650323,1.028200305,201.3088798,9.058926637,15.31126884,0.675,185.997611,9.052291172,27.08353733,0.459185462,0.02540254,0.001304373,0.206692698,0.030829609
TC20-06,11,0.127300038,0.018103539,1.21695036,1.153300342,186.2147,8.3797,15.3301,0.675,170.8846,8.381442892,32.48316089,0.521925658,0.023575725,0.001219578,0.185198095,0.027612826
TC20-07,12,0.132100039,0.01870694,1.3490504,1.28300038,164.5127,7.4031,15.9166,0.675,148.5961,7.439717804,38.28412728,0.58581414,0.022772075,0.001195309,0.172385071,0.025696464
TC20-08,13,0.137100041,0.019473709,1.48615044,1.41760042,146.385,6.5873,15.8404,0.675,130.5446,6.611384977,44.67904689,0.65866732,0.0214389,0.001138996,0.156374131,0.023404347
