Lab,Depth (cm),Density g/cm^3,210Pb (Bq/kg),sd(210Pb),Thickness (cm),226Ra (Bq/kg),sd(226Ra)
TC20-01,1,0.1001,66.0779,2.9735,1,14.6349,0.675
TC20-02,5,0.1055,237.1429,10.6714,1,14.8704,0.675
TC20-03,7,0.1112,246.879,11.1096,1,16.0705,0.675
TC20-04,8,0.1147,236.3511,10.6358,1,14.1503,0.675
TC20-05,9,0.1185,217.0308,9.7664,1,15.2931,0.675
TC20-06,11,0.1273,186.2147,8.3797,1,15.3301,0.675
TC20-07,12,0.1321,164.5127,7.4031,1,15.9166,0.675
TC20-08,13,0.1371,146.385,6.5873,1,15.8404,0.675
TC20-10,16,0.1526,87.5468,3.9396,1,14.5865,0.675
TC20-11,17,0.1578,77.7202,3.4974,1,16.2102,0.675
TC20-12,18,0.1629,61.975,2.7889,1,14.9993,0.675
TC20-13,20,0.1727,41.793,1.8807,1,14.688,0.675
TC20-14,22,0.1815,30.6076,1.3773,1,14.6886,0.675
TC20-15,27,0.1967,16.763,1,1,15.2282,0.675
TC20-16,30,0.1999,16.2582,1,1,15.5516,0.675
