depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.6	-69.3	-69.5	-69.5
2	-68.9	-67.7	-68.6	-68.5
3	-68	-63.7	-67.1	-66.8
4	-66.5	-56.7	-65.1	-64.4
5	-63.9	-53.6	-62.3	-61.6
6	-61.2	-50.1	-58.9	-58.2
7	-57.6	-46	-55.1	-54.4
8	-53.7	-41.4	-50.8	-50.1
9	-49.5	-36.2	-46.1	-45.5
10	-45	-32.3	-41.3	-40.7
11	-40.2	-26.1	-35.6	-35.1
12	-34.9	-19.3	-29.3	-28.9
13	-29.1	-11.2	-22.2	-21.8
14	-21.8	-5.9	-16	-15.5
15	-14.9	-0.9	-9.5	-9.2
16	-8.1	7.7	-1.6	-1.3
17	-0.4	18.3	7.8	8
18	7.4	30.5	17.7	18
19	16.2	40.1	27.3	27.5
20	23.9	55.3	38.4	38.7
21	32.3	69.1	49.7	50.1
22	39.5	94.3	63.3	64.5
23	49	112.5	75.8	76.9
24	58.4	125.8	87.2	88.6
25	67.3	138.7	98.1	99.5
26	74.9	153.6	108.5	109.9
27	79.8	166.3	117.6	119
28	85.5	180.4	127.3	128.7
29	92.6	193.2	137.2	138.6
30	98.9	205.8	146.8	148.5
