Lab,Depth (cm),Density g/cm^3,210Pb (Bq/kg),sd(210Pb),Thickness (cm),226Ra (Bq/kg),sd(226Ra)
Sim-1,1,0.10009133513146,66.077869549943,2.97350412974744,1,14.6348941386432,0.675
Sim-2,2,0.100638144907819,111.802602540447,5.03111711432012,1,13.9252912751415,0.675
Sim-3,3,0.101725773498201,161.09070929435,7.24908191824576,1,15.0602454586452,0.675
Sim-4,4,0.103342304616167,181.007550201722,8.14533975907748,1,15.308681509289,0.675
Sim-5,5,0.10547002720851,237.14289918389,10.6714304632751,1,14.8703680192106,0.675
Sim-6,6,0.108085629501251,226.502727445587,10.1926227350514,1,15.5394702906832,0.675
Sim-7,7,0.111160454408323,246.879034669064,11.1095565601079,1,16.0705147434336,0.675
Sim-8,8,0.114660813504595,236.351086826247,10.6357989071811,1,14.1502995530677,0.675
Sim-9,9,0.118548356123311,217.030795087195,9.76638577892377,1,15.2931228373633,0.675
Sim-10,10,0.122780489534019,193.891107633865,8.72509984352394,1,14.8675615078706,0.675
Sim-11,11,0.127310845597441,186.214743614562,8.37966346265528,1,15.3301176299726,0.675
Sim-12,12,0.132089788784509,164.512652307925,7.40306935385665,1,15.9165529332783,0.675
Sim-13,13,0.137064959993606,146.384994174946,6.58732473787256,1,15.8404457126804,0.675
Sim-14,14,0.142181850207844,126.463871232458,5.69087420546061,1,14.6284907263677,0.675
Sim-15,15,0.147384397707258,98.5207650221715,4.43343442599772,1,15.0713736092668,0.675
Sim-16,16,0.152615602292742,87.5468283496138,3.93960727573262,1,14.5864796760241,0.675
Sim-17,17,0.157818149792156,77.720192995302,3.49740868478859,1,16.2101511931088,0.675
Sim-18,18,0.162935040006394,61.9750210316332,2.7888759464235,1,14.9993428650787,0.675
Sim-19,19,0.167910211215491,47.7544665660204,2.14895099547092,1,14.2122377535375,0.675
Sim-20,20,0.172689154402559,41.7930233972258,1.88068605287516,1,14.6879723659738,0.675
Sim-21,21,0.177219510465981,37.0010927435705,1.66504917346067,1,14.6946316029115,0.675
Sim-22,22,0.181451643876689,30.6075783541117,1.37734102593503,1,14.6885943251103,0.675
Sim-23,23,0.185339186495405,26.8775345142053,1.20948905313924,1,14.7388589448497,0.675
Sim-24,24,0.188839545591677,22.5600255373211,1.01520114917945,1,14.4049837418799,0.675
Sim-25,25,0.191914370498749,18.8886065853645,1,1,14.1645461866066,0.675
Sim-26,26,0.19452997279149,19.2631189682616,1,1,15.0800235330969,0.675
Sim-27,27,0.196657695383833,16.7630010623758,1,1,15.2282299818168,0.675
Sim-28,28,0.198274226501799,18.1558833160196,1,1,14.3645495057538,0.675
Sim-29,29,0.199361855092181,15.628875213322,1,1,14.6474061577052,0.675
Sim-30,30,0.19990866486854,16.2581808133766,1,1,15.5516214362588,0.675
